Number,Idea,Score,Free_Value_Prop,Paid_Value_Prop,Why_This_Score,LLM_Source
1,Compliance-as-a-Service for AI Startups,8.7,"Free AI Act calculator, compliance checklists","$20k-150k full compliance packages + ongoing monitoring","Regulatory tsunami incoming. High-ticket B2B, sticky once embedded (switching = re-audit). Main risk: Big 4 consultancies wake up.",Claude
2,Custom Automation & Internal Tools,7.9,"200+ free Zapier templates, calculators","$5k-50k custom development + hosting","Strong unit economics at $20k+ deals. But saturated market, constant Bubble/Retool competition, 6-month sales cycles typical.",Claude
3,Micro-SaaS Rollup,7.2,Free SaaS valuation tool,Buy & optimize portfolio,"Proven model (Tiny/FE International), but requires $500k+ capital, deep technical expertise. Not really ""99% free"" model.",Claude
4,B2B Lead Enrichment API,6.8,100 free enrichments/mo,$0.02/enrichment at volume,"Good margins but brutal competition (Apollo, ZoomInfo, Clay). Need $2M+ to build competitive dataset.",Claude
5,Pay-Per-Resolution Dev Support,6.3,Free debugging guides,$50-200/resolution,"Solves real pain, but hard to scale quality. Marketplace dynamics = race to bottom on price.",Claude
6,Language Learning Games,4.8,5 free games,$12/mo for full platform,"Duolingo has $1-2 CAC, 33x LTV. You have $50+ CAC, maybe 3x LTV. They have $300M AI budget. You don't.",Claude
7,Combined: All Learning Platforms,4.5,"50 free games/stories","$18/mo bundle","Slightly better unit economics via bundling, but still competing with free Duolingo. EdTech retention = 2-30%. Nightmare.",Claude
8,Printable Activities (Teachers),4.2,"50k free worksheets","$10/mo teacher license","TPT has 5M teachers, you're starting at zero. Teachers share everything in Facebook groups. Copyright nightmare.",Claude
9,High-Quality 3D Printing Files,3.9,"25k free STL files","$10/mo premium access","Thingiverse = infinite free files. Creators earn 15-30% on paid platforms. Race to bottom, impossible differentiation.",Claude
10,AI OnlyFans Management,3.8,None,20% rev share after platform fees,"High margins theoretically, but platforms will ban AI content instantly once detected. Legal/ethical minefield.",Claude
11,STEM Learning Games,3.6,"20 free games","$8/mo platform access","2% day-30 retention in EdTech. Parents buy, kids don't use. Massive creative production costs for quality games.",Claude
12,Children's Books Translation,3.4,"50 free translated books","$7/mo unlimited library","Publishers own all valuable IP. Copyright hell. Parents use library or pirate. $10B market but Big 5 own 80%.",Claude
13,Math Learning Games,3.2,"30 free games","$9/mo full access","Khan Academy is free and better. IXL/Prodigy have school contracts locked. Individual parent CAC = $150+.",Claude
14,Language Stories Platform,3.0,"50 free stories","$7/mo premium stories","Zero moat. ChatGPT generates infinite stories free. No network effects, pure commodity.",Claude
15,Ambient Music for Sleep,2.8,"500+ free tracks","$10/mo commercial license","Spotify devalued ambient to 1/5th royalties. YouTube has infinite free options. Maybe 10k commercial buyers globally.",Claude
16,Print-on-Demand Design Library,2.1,"100k free designs","$5/mo early access to new designs","Redbubble takes 20%, Printful has no fees, Canva is free. POD margins already razor-thin. This adds zero value.",Claude
17,AI Medical Coding Service,9.2,Free accuracy audit,$2-5k/mo full service,"273,000 medical practices in US. Clear ROI (saves $50k+/year in coding errors). Human verification creates regulatory moat. CAC ~$3k sustainable with $60k LTV.",Claude
18,Custom Automation & Internal Tools,8.7,"200+ free workflow templates","$5k-50k custom development","Workflow automation market $24B growing 10-23% CAGR. B2B model with proven $10k+ ACVs. Challenge: competing with Zapier/Make but service layer defensible.",Claude
19,AI Contract Analysis for SMBs,8.4,Free contract risk score,$500-2,500 per contract review,"30M+ SMBs need this. Higher margins than pure legal services. Human lawyer layer prevents liability issues. Recurring revenue from retainers possible.",Claude
20,Patent Prior Art Search Service,7.8,Free basic patent check,$1-5k comprehensive search,"300k+ patent applications yearly. Current searches cost $10-50k. AI cuts cost 90% while human verification maintains quality. Niche but profitable.",Claude
21,AI-Powered Local SEO Content Service,7.2,Free SEO audit,$299-999/mo managed service,"32M SMBs need SEO help. Proven demand but crowded market. AI reduces content cost 80%, human editing maintains quality. CAC ~$500 reasonable.",Claude
22,Print-on-Demand Design Library,6.8,"100k+ free designs","$5/mo early access + affiliates","POD market $13B growing 25% but 228,000+ stores competing. Average seller takes 165 days to first $1k. Success requires 10+ new designs weekly. Margins 20-40% realistic.",Claude
23,High-Quality 3D Printing Files Library,5.9,"25k+ free STL files","$10/mo teacher license + affiliates","3D printing $20B+ market but Thingiverse dominates free. Cults3D takes 20% commission model working. Teacher niche smart but TAM limited (~200k potential subs max).",Claude
24,Combined: Language + STEM Games,5.2,"100 free games/stories","$18/mo all-access","Trying to compete with Duolingo (500M+ users) and Khan Academy (free). CAC would exceed $100 for $216 annual revenue. Retention under 6 months typical.",Claude
25,AI Resume-to-Interview Prep Platform,4.8,Free resume analysis,$39/mo interview prep,"Indeed/LinkedIn dominate. CAC ~$50 for $39/mo product problematic. 3-month average retention means $117 LTV vs $50 CAC = barely profitable.",Claude
26,Ambient Music for Sleep/Relaxation,4.5,"500+ free tracks","$10/mo commercial license","Spotify pays $0.003/stream. Commercial licensing dominated by Epidemic Sound. Creating 500 quality tracks costs $50k+. Maybe 1% conversion to paid realistic.",Claude
27,Language Learning Games,3.9,Free vocab games,$12/mo advanced features,"Duolingo has $300M AI budget, you have zero. Market worth $7B but top 5 apps have 80%+ share. CAC exceeds $200 in this space. Death by competition.",Claude
28,Children's Books Translation Platform,3.6,"50 free translated books","$7/mo library access","Children's book market growing only 3% CAGR. Parents want known brands (Disney, etc.). Copyright nightmare for translations. Epic! offers 40,000 books for $10/mo.",Claude
29,STEM Learning Games,3.3,"20 free browser games","$8/mo platform access","Game-based learning competitive ($14B market). But Minecraft Education and Roblox dominate. Building 20 quality games costs $200k+. School sales cycle 18+ months.",Claude
30,Math Learning Games,2.8,"30 free games","$9/mo platform","Khan Academy is free and better. Prodigy has 150M users. Creating 30 engaging math games requires $300k+ investment. Parents won't pay when free alternatives exist.",Claude
31,High-Quality Printable Activities,2.4,"50k+ free pages","$10/mo teacher license","Teachers Pay Teachers has this locked with 7M+ resources. Creating 50k quality pages impossible without plagiarism. Pinterest has infinite free printables. DOA.",Claude
32,All Learning Games (general),1.9,"50 free games","$11/mo pass","Jack of all trades, master of none. No clear audience. Competing against every educational app simultaneously. CAC would exceed $300 for $132 annual revenue. Guaranteed money pit.",Claude
